,Perfil,ID_Func,Idade,Atrito,Departamento,Grau Instrução,Especialidade,Satisfação Ambiente,Gênero,Envolvimento,Cargo,Satisfação Trabalho,Estado Civil,Renda,Relacionamento,Balanço Vida-Profissão,Análise Ambiente,Análise Envolvimento,Análise Trabalho,Análise Relacionamento,Análise Balanço Vida-Profissão
328,Perfil 5,328,33,Não,Vendas,Pos_Graduado,Marketing,Média,Masculino,Médio,Executivo_Vendas,Muito Alta,Solteiro,4682,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
329,Perfil 4,329,47,Não,P & D,Doutorado,Biologia,Muito Alta,Masculino,Alto,Diretor_Pesquisa,Alta,Casado,18300,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
330,Perfil 4,330,43,Não,P & D,Mestrado,Biologia,Alta,Feminino,Médio,Tecnico_Lab,Alta,Divorciado,5257,Médio,Muito Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
331,Perfil 6,331,27,Não,Vendas,Ensino_Mèdio,Marketing,Alta,Masculino,Alto,Executivo_Vendas,Média,Casado,6349,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
332,Perfil 1,332,54,Não,P & D,Mestrado,Biologia,Muito Alta,Feminino,Alto,Pesquisa_Cientifica,Alta,Solteiro,4869,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
333,Perfil 4,333,43,Não,P & D,Pos_Graduado,Biologia,Alta,Feminino,Alto,Repres_Saúde,Baixa,Casado,9985,Baixo,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
334,Perfil 4,334,45,Não,P & D,Mestrado,Outros,Muito Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Casado,3697,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
335,Perfil 5,335,40,Não,Vendas,Faculdade,Médico,Média,Masculino,Baixo,Executivo_Vendas,Muito Alta,Casado,7457,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
336,Perfil 5,336,29,Sim,P & D,Mestrado,Outros,Média,Masculino,Baixo,Tecnico_Lab,Baixa,Casado,2119,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
337,Perfil 5,337,29,Não,P & D,Doutorado,Outros,Média,Masculino,Médio,Tecnico_Lab,Muito Alta,Solteiro,3983,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
338,Perfil 2,338,30,Não,Vendas,Pos_Graduado,Marketing,Muito Alta,Feminino,Médio,Executivo_Vendas,Alta,Divorciado,6118,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
339,Perfil 4,339,27,Não,Vendas,Mestrado,Marketing,Média,Feminino,Alto,Executivo_Vendas,Média,Casado,6214,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
340,Perfil 1,340,37,Não,P & D,Faculdade,Médico,Muito Alta,Masculino,Alto,Diretor_Manufatura,Muito Alta,Divorciado,6347,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
341,Perfil 5,341,38,Não,P & D,Faculdade,Biologia,Alta,Masculino,Médio,Diretor_Pesquisa,Muito Alta,Divorciado,11510,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
342,Perfil 1,342,31,Não,P & D,Mestrado,Médico,Alta,Feminino,Alto,Diretor_Manufatura,Muito Alta,Solteiro,7143,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
343,Perfil 4,343,29,Não,Vendas,Ensino_Mèdio,Marketing,Muito Alta,Feminino,Médio,Executivo_Vendas,Média,Divorciado,8268,Baixo,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
344,Perfil 6,344,35,Não,P & D,Mestrado,Tech,Alta,Masculino,Alto,Diretor_Manufatura,Média,Solteiro,8095,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
345,Perfil 1,345,23,Não,P & D,Ensino_Mèdio,Biologia,Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Divorciado,2904,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
346,Perfil 6,346,41,Não,P & D,Pos_Graduado,Médico,Muito Alta,Masculino,Médio,Diretor_Manufatura,Média,Solteiro,6032,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
347,Perfil 4,347,47,Não,Vendas,Ensino_Mèdio,Médico,Média,Masculino,Alto,Repres_Vendas,Alta,Solteiro,2976,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
348,Perfil 3,348,42,Não,P & D,Doutorado,Biologia,Baixa,Feminino,Alto,Diretor_Pesquisa,Muito Alta,Solteiro,15992,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
349,Perfil 4,349,29,Não,Vendas,Pos_Graduado,Biologia,Muito Alta,Masculino,Alto,Executivo_Vendas,Alta,Casado,4649,Baixo,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
350,Perfil 2,350,42,Não,RH,Ensino_Mèdio,Tech,Alta,Masculino,Alto,Human Resources,Alta,Divorciado,2696,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
351,Perfil 6,351,32,Não,P & D,Pos_Graduado,Médico,Alta,Feminino,Alto,Tecnico_Lab,Média,Casado,2370,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
352,Perfil 1,352,48,Não,Vendas,Ensino_Mèdio,Médico,Baixa,Feminino,Alto,Gerente,Alta,Casado,12504,Médio,Baixa,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
353,Perfil 4,353,37,Não,P & D,Pos_Graduado,Médico,Alta,Masculino,Muito Alto,Pesquisa_Cientifica,Baixa,Divorciado,5974,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
354,Perfil 4,354,30,Não,Vendas,Faculdade,Tech,Muito Alta,Feminino,Alto,Executivo_Vendas,Alta,Casado,4736,Médio,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
355,Perfil 4,355,26,Não,Vendas,Pos_Graduado,Biologia,Alta,Masculino,Alto,Executivo_Vendas,Alta,Casado,5296,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
356,Perfil 5,356,42,Não,P & D,Mestrado,Outros,Baixa,Masculino,Médio,Repres_Saúde,Muito Alta,Solteiro,6781,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
357,Perfil 3,357,21,Sim,Vendas,Ensino_Mèdio,Tech,Baixa,Feminino,Médio,Repres_Vendas,Média,Solteiro,2174,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
358,Perfil 2,358,36,Não,Vendas,Doutorado,Médico,Muito Alta,Feminino,Alto,Executivo_Vendas,Muito Alta,Solteiro,6653,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
359,Perfil 5,359,36,Não,Vendas,Mestrado,Médico,Baixa,Masculino,Médio,Executivo_Vendas,Muito Alta,Casado,9699,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
360,Perfil 2,360,57,Não,P & D,Mestrado,Médico,Muito Alta,Masculino,Alto,Repres_Saúde,Alta,Casado,6755,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
361,Perfil 2,361,40,Não,P & D,Mestrado,Biologia,Muito Alta,Feminino,Muito Alto,Tecnico_Lab,Alta,Casado,2213,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
362,Perfil 3,362,21,Não,Vendas,Faculdade,Médico,Baixa,Masculino,Alto,Repres_Vendas,Muito Alta,Solteiro,2610,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
363,Perfil 4,363,33,Sim,Vendas,Pos_Graduado,Marketing,Muito Alta,Feminino,Alto,Repres_Vendas,Alta,Solteiro,2851,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
364,Perfil 6,364,37,Não,P & D,Pos_Graduado,Médico,Alta,Feminino,Alto,Tecnico_Lab,Baixa,Casado,3452,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
365,Perfil 2,365,46,Não,P & D,Mestrado,Médico,Alta,Feminino,Alto,Diretor_Manufatura,Alta,Casado,5258,Alto,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
366,Perfil 3,366,41,Sim,Vendas,Pos_Graduado,Marketing,Baixa,Masculino,Alto,Executivo_Vendas,Média,Solteiro,9355,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
367,Perfil 2,367,50,Não,P & D,Pos_Graduado,Tech,Muito Alta,Masculino,Médio,Repres_Saúde,Muito Alta,Solteiro,10496,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
368,Perfil 4,368,40,Sim,Vendas,Faculdade,Marketing,Alta,Masculino,Médio,Executivo_Vendas,Alta,Casado,6380,Baixo,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
369,Perfil 6,369,31,Não,P & D,Mestrado,Biologia,Alta,Masculino,Médio,Pesquisa_Cientifica,Média,Solteiro,2657,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
370,Perfil 6,370,21,Sim,Vendas,Pos_Graduado,Biologia,Alta,Feminino,Muito Alto,Repres_Vendas,Média,Solteiro,2716,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
371,Perfil 2,371,29,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Solteiro,2201,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
372,Perfil 6,372,35,Não,P & D,Mestrado,Biologia,Alta,Masculino,Médio,Repres_Saúde,Média,Solteiro,6540,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
373,Perfil 4,373,27,Não,P & D,Faculdade,Médico,Muito Alta,Masculino,Alto,Tecnico_Lab,Média,Divorciado,3816,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
374,Perfil 2,374,28,Não,Vendas,Mestrado,Biologia,Média,Masculino,Alto,Executivo_Vendas,Muito Alta,Solteiro,5253,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
375,Perfil 5,375,49,Não,P & D,Pos_Graduado,Outros,Média,Masculino,Médio,Repres_Saúde,Alta,Solteiro,10965,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
376,Perfil 1,376,51,Não,Vendas,Faculdade,Biologia,Alta,Feminino,Alto,Executivo_Vendas,Muito Alta,Casado,4936,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
377,Perfil 4,377,36,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Feminino,Alto,Pesquisa_Cientifica,Alta,Casado,2543,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
378,Perfil 3,378,34,Sim,Vendas,Pos_Graduado,Marketing,Baixa,Masculino,Muito Alto,Executivo_Vendas,Muito Alta,Solteiro,5304,Médio,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
379,Perfil 2,379,55,Não,P & D,Pos_Graduado,Biologia,Alta,Feminino,Alto,Gerente,Muito Alta,Solteiro,16659,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
380,Perfil 2,380,24,Não,Vendas,Mestrado,Marketing,Muito Alta,Feminino,Alto,Executivo_Vendas,Alta,Divorciado,4260,Muito Alto,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
381,Perfil 4,381,30,Não,Vendas,Ensino_Mèdio,Tech,Alta,Masculino,Alto,Repres_Vendas,Média,Casado,2476,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
382,Perfil 6,382,26,Sim,P & D,Ensino_Mèdio,Tech,Alta,Masculino,Alto,Pesquisa_Cientifica,Baixa,Solteiro,3102,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
383,Perfil 3,383,22,Não,P & D,Pos_Graduado,Médico,Baixa,Feminino,Alto,Pesquisa_Cientifica,Média,Casado,2244,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
384,Perfil 5,384,36,Não,Vendas,Faculdade,Médico,Média,Masculino,Médio,Executivo_Vendas,Alta,Casado,7596,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
385,Perfil 2,385,30,Sim,P & D,Pos_Graduado,Tech,Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Solteiro,2285,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
386,Perfil 6,386,37,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Feminino,Alto,Tecnico_Lab,Baixa,Divorciado,3034,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
387,Perfil 6,387,40,Não,Vendas,Faculdade,Marketing,Muito Alta,Feminino,Alto,Executivo_Vendas,Média,Divorciado,5715,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
388,Perfil 3,388,42,Não,P & D,Mestrado,Biologia,Média,Feminino,Alto,Tecnico_Lab,Baixa,Divorciado,2576,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
389,Perfil 1,389,37,Não,P & D,Mestrado,Biologia,Alta,Masculino,Alto,Diretor_Manufatura,Média,Solteiro,4197,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
390,Perfil 3,390,43,Não,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Médio,Diretor_Pesquisa,Média,Divorciado,14336,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
391,Perfil 5,391,40,Não,P & D,Pos_Graduado,Médico,Média,Feminino,Médio,Tecnico_Lab,Alta,Casado,3448,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
392,Perfil 3,392,54,Não,P & D,Faculdade,Médico,Baixa,Masculino,Alto,Diretor_Pesquisa,Baixa,Casado,19406,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
393,Perfil 4,393,34,Não,Vendas,Mestrado,Marketing,Alta,Feminino,Alto,Executivo_Vendas,Alta,Casado,6538,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
394,Perfil 1,394,31,Não,P & D,Faculdade,Médico,Média,Feminino,Alto,Diretor_Manufatura,Baixa,Casado,4306,Médio,Baixa,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
395,Perfil 4,395,43,Não,P & D,Pos_Graduado,Médico,Muito Alta,Masculino,Alto,Tecnico_Lab,Muito Alta,Casado,2258,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
396,Perfil 2,396,43,Não,P & D,Mestrado,Outros,Alta,Feminino,Alto,Repres_Saúde,Alta,Divorciado,4522,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
397,Perfil 5,397,25,Não,Vendas,Faculdade,Biologia,Média,Feminino,Médio,Executivo_Vendas,Muito Alta,Solteiro,4487,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
398,Perfil 4,398,37,Não,P & D,Doutorado,Médico,Média,Feminino,Alto,Pesquisa_Cientifica,Alta,Casado,4449,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
399,Perfil 6,399,31,Não,P & D,Faculdade,Biologia,Muito Alta,Masculino,Médio,Tecnico_Lab,Baixa,Casado,2218,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
400,Perfil 3,400,39,Não,P & D,Ensino_Mèdio,Biologia,Média,Masculino,Alto,Gerente,Alta,Divorciado,19197,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
401,Perfil 6,401,56,Não,Vendas,Pos_Graduado,Biologia,Alta,Feminino,Muito Alto,Executivo_Vendas,Baixa,Casado,13212,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
402,Perfil 3,402,30,Não,Vendas,Pos_Graduado,Tech,Média,Feminino,Alto,Executivo_Vendas,Alta,Solteiro,6577,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
403,Perfil 3,403,41,Não,Vendas,Pos_Graduado,Marketing,Média,Masculino,Muito Alto,Executivo_Vendas,Baixa,Casado,8392,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
404,Perfil 6,404,28,Não,P & D,Faculdade,Médico,Alta,Masculino,Alto,Tecnico_Lab,Baixa,Divorciado,4558,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
405,Perfil 3,405,25,Sim,P & D,Pos_Graduado,Médico,Baixa,Masculino,Alto,Tecnico_Lab,Baixa,Casado,4031,Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
406,Perfil 2,406,52,Não,P & D,Pos_Graduado,Médico,Muito Alta,Masculino,Médio,Diretor_Manufatura,Alta,Casado,7969,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
407,Perfil 3,407,45,Não,P & D,Faculdade,Biologia,Baixa,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Casado,2654,Muito Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
408,Perfil 1,408,52,Não,P & D,Faculdade,Biologia,Muito Alta,Feminino,Alto,Gerente,Muito Alta,Casado,16555,Muito Alto,Baixa,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
409,Perfil 3,409,42,Não,P & D,Faculdade,Biologia,Baixa,Feminino,Alto,Pesquisa_Cientifica,Alta,Divorciado,4556,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
410,Perfil 5,410,30,Não,P & D,Pos_Graduado,Biologia,Alta,Feminino,Baixo,Diretor_Manufatura,Muito Alta,Solteiro,6091,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
411,Perfil 1,411,60,Não,P & D,Pos_Graduado,Biologia,Baixa,Feminino,Alto,Gerente,Baixa,Casado,19566,Muito Alto,Baixa,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
412,Perfil 1,412,46,Não,P & D,Pos_Graduado,Médico,Alta,Feminino,Alto,Diretor_Manufatura,Alta,Divorciado,4810,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
413,Perfil 2,413,42,Não,P & D,Mestrado,Tech,Muito Alta,Feminino,Médio,Repres_Saúde,Muito Alta,Casado,4523,Muito Alto,Muito Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
414,Perfil 3,414,24,Sim,Vendas,Ensino_Mèdio,Tech,Baixa,Feminino,Alto,Repres_Vendas,Média,Solteiro,3202,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
415,Perfil 5,415,34,Sim,Vendas,Faculdade,Marketing,Muito Alta,Feminino,Baixo,Repres_Vendas,Alta,Divorciado,2351,Muito Alto,Média,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
